"","ppid","trial_num","block_num","trial_num_in_block","start_time","end_time","target_angle","angular_dev_h","plane_visible","high_targets","rotated_session"
"183",2,312,16,3,1201.285,1204.452,80,-29.6022512235196,TRUE,TRUE,TRUE
"184",2,313,16,4,1204.452,1208.352,40,-9.03624346792648,TRUE,TRUE,TRUE
"185",2,314,16,5,1208.352,1217.941,100,20.0151424034364,TRUE,TRUE,TRUE
"186",2,315,16,6,1217.941,1221.374,60,-15.6585431775636,TRUE,TRUE,TRUE
"187",2,316,16,7,1221.374,1226.952,120,4.28687697720898,TRUE,TRUE,TRUE
"188",2,317,16,8,1226.952,1230.185,100,-23.6459512792207,TRUE,TRUE,TRUE
"189",2,318,16,9,1230.185,1234.152,40,-8.31539851989602,TRUE,TRUE,TRUE
"190",2,319,16,10,1234.152,1238.374,80,-14.3740648669064,TRUE,TRUE,TRUE
"191",2,320,16,11,1238.374,1242.341,60,-26.8024342077835,TRUE,TRUE,TRUE
"192",2,321,16,12,1242.341,1246.152,140,17.3801350519596,TRUE,TRUE,TRUE
"193",3,46,2,1,216.0984,219.2762,60,17.2265008961878,FALSE,FALSE,FALSE
"194",3,47,2,2,219.2762,222.6205,40,28.1336293402214,FALSE,FALSE,FALSE
"195",3,48,2,3,222.6205,225.4758,80,12.8624052261118,FALSE,FALSE,FALSE
"196",3,49,2,4,225.4758,228.5428,140,29.0567021811839,FALSE,FALSE,FALSE
"197",3,50,2,5,228.5428,231.7209,100,-2.74362175781118,FALSE,FALSE,FALSE
"198",3,51,2,6,231.7209,235.1207,120,21.2178173495213,FALSE,FALSE,FALSE
"199",3,52,2,7,235.1207,239.9317,40,4.88378153968743,FALSE,FALSE,FALSE
"200",3,53,2,8,239.9317,243.9874,80,0.684288985580068,FALSE,FALSE,FALSE
"201",3,54,2,9,243.9874,250.2766,100,10.5740344747265,FALSE,FALSE,FALSE
"202",3,55,2,10,250.2766,253.9542,120,7.16238632210155,FALSE,FALSE,FALSE
"203",3,56,2,11,253.9542,257.8209,60,8.32334977104676,FALSE,FALSE,FALSE
"204",3,57,2,12,257.8209,260.9321,140,24.6890102473542,FALSE,FALSE,FALSE
"205",3,73,4,1,311.1772,314.1106,40,14.7015062359294,TRUE,FALSE,FALSE
"206",3,74,4,2,314.1106,317.1552,140,-4.76126896690107,TRUE,FALSE,FALSE
"207",3,75,4,3,317.1552,320.2661,120,27.2105779632072,TRUE,FALSE,FALSE
"208",3,76,4,4,320.2661,325.9108,80,-9.17900802581075,TRUE,FALSE,FALSE
"209",3,77,4,5,325.9108,330.8553,100,16.8824760708305,TRUE,FALSE,FALSE
"210",3,78,4,6,330.8553,334.133,60,7.31213629500166,TRUE,FALSE,FALSE
"211",3,79,4,7,334.133,337.5552,100,8.27995610942959,TRUE,FALSE,FALSE
"212",3,80,4,8,337.5552,341.8554,140,35.1275493091545,TRUE,FALSE,FALSE
"213",3,81,4,9,341.8554,345.9449,120,34.1736786816244,TRUE,FALSE,FALSE
"214",3,82,4,10,345.9449,349.3112,60,-6.22362641437438,TRUE,FALSE,FALSE
"215",3,83,4,11,349.3112,353.3112,40,-1.48519160142817,TRUE,FALSE,FALSE
"216",3,84,4,12,353.3112,356.5556,80,-13.2419307319426,TRUE,FALSE,FALSE
"217",3,100,6,1,415.4341,419.6341,140,14.3589941756947,FALSE,TRUE,FALSE
"218",3,101,6,2,419.6341,423.8009,60,13.3579086443202,FALSE,TRUE,FALSE
"219",3,102,6,3,423.8009,428.9676,40,20.5479395582888,FALSE,TRUE,FALSE
"220",3,103,6,4,428.9676,432.9341,120,28.8268081309598,FALSE,TRUE,FALSE
"221",3,104,6,5,432.9341,436.2009,100,14.1022345011612,FALSE,TRUE,FALSE
"222",3,105,6,6,436.2009,439.9565,80,-24.3961417401287,FALSE,TRUE,FALSE
"223",3,106,6,7,439.9565,443.001,120,33.9281571240055,FALSE,TRUE,FALSE
"224",3,107,6,8,443.001,447.4011,60,2.49447330485938,FALSE,TRUE,FALSE
"225",3,108,6,9,447.4011,451.2345,140,31.0563155174356,FALSE,TRUE,FALSE
"226",3,109,6,10,451.2345,454.4456,80,-15.4551376733712,FALSE,TRUE,FALSE
"227",3,110,6,11,454.4456,458.0345,100,-6.19855929549672,FALSE,TRUE,FALSE
"228",3,111,6,12,458.0345,462.3907,40,19.0874919153623,FALSE,TRUE,FALSE
"229",3,127,8,1,524.8356,529.6801,120,31.5637352252825,TRUE,TRUE,FALSE
"230",3,128,8,2,529.6801,533.2911,100,41.6757037369033,TRUE,TRUE,FALSE
"231",3,129,8,3,533.2911,537.0912,60,-9.66489425934429,TRUE,TRUE,FALSE
"232",3,130,8,4,537.0912,543.3134,140,32.316018170266,TRUE,TRUE,FALSE
"233",3,131,8,5,543.3134,547.3355,80,-15.9346829502881,TRUE,TRUE,FALSE
"234",3,132,8,6,547.3355,550.8359,40,7.5246337561356,TRUE,TRUE,FALSE
"235",3,133,8,7,550.8359,554.9803,40,5.93155659807748,TRUE,TRUE,FALSE
"236",3,134,8,8,554.9803,558.8915,100,64.1047316274187,TRUE,TRUE,FALSE
"237",3,135,8,9,558.8915,562.7023,120,75.2401080197457,TRUE,TRUE,FALSE
"238",3,136,8,10,562.7023,566.9805,60,-18.154842864792,TRUE,TRUE,FALSE
"239",3,137,8,11,566.9805,573.2805,140,60.3392221126522,TRUE,TRUE,FALSE
"240",3,138,8,12,573.2805,580.5804,80,-14.1099892252815,TRUE,TRUE,FALSE
"241",3,229,10,1,935.7963,980.0743,140,20.8355654902207,FALSE,FALSE,TRUE
"242",3,230,10,2,980.0743,987.2079,100,-22.8445924800194,FALSE,FALSE,TRUE
"243",3,231,10,3,987.2079,991.4302,60,-26.5577857780723,FALSE,FALSE,TRUE
"244",3,232,10,4,991.4302,994.7968,120,42.5578450283005,FALSE,FALSE,TRUE
"245",3,233,10,5,994.7968,998.7303,80,-36.8255423073299,FALSE,FALSE,TRUE
"246",3,234,10,6,998.7303,1005.298,40,-13.5932240543361,FALSE,FALSE,TRUE
"247",3,235,10,7,1005.298,1015.897,80,-43.3102771675242,FALSE,FALSE,TRUE
"248",3,236,10,8,1015.897,1019.986,40,-19.1044739297124,FALSE,FALSE,TRUE
"249",3,237,10,9,1019.986,1022.975,120,18.8607326248833,FALSE,FALSE,TRUE
"250",3,238,10,10,1022.975,1026.886,100,-26.3523835431911,FALSE,FALSE,TRUE
"251",3,239,10,11,1026.886,1030.075,140,56.3138524262605,FALSE,FALSE,TRUE
"252",3,240,10,12,1030.075,1033.075,60,-25.5947657123372,FALSE,FALSE,TRUE
"253",3,256,12,1,1078.009,1082.532,140,26.1793152573826,TRUE,FALSE,TRUE
"254",3,257,12,2,1082.532,1087.32,120,50.1975032847548,TRUE,FALSE,TRUE
"255",3,258,12,3,1087.32,1090.865,100,6.21705488879576,TRUE,FALSE,TRUE
"256",3,259,12,4,1090.865,1094.82,80,-29.5254440242132,TRUE,FALSE,TRUE
"257",3,260,12,5,1094.82,1101.62,60,-29.2403237429406,TRUE,FALSE,TRUE
"258",3,261,12,6,1101.62,1106.643,40,-28.9765440362569,TRUE,FALSE,TRUE
"259",3,262,12,7,1106.643,1111.054,60,-21.8748180287043,TRUE,FALSE,TRUE
"260",3,263,12,8,1111.054,1114.221,140,54.2737024142114,TRUE,FALSE,TRUE
"261",3,264,12,9,1114.221,1120.12,40,-8.11454498833195,TRUE,FALSE,TRUE
"262",3,265,12,10,1120.12,1125.11,80,-19.3890114663203,TRUE,FALSE,TRUE
"263",3,266,12,11,1125.11,1129.521,120,61.0282753737599,TRUE,FALSE,TRUE
"264",3,267,12,12,1129.521,1132.721,100,10.0276138507363,TRUE,FALSE,TRUE
"265",3,283,14,1,1187.033,1193.944,100,-44.8544555661037,FALSE,TRUE,TRUE
"266",3,284,14,2,1193.944,1197.177,120,21.0617887887287,FALSE,TRUE,TRUE
"267",3,285,14,3,1197.177,1202.21,40,-19.9894332455929,FALSE,TRUE,TRUE
"268",3,286,14,4,1202.21,1206.322,80,-38.7015924668694,FALSE,TRUE,TRUE
"269",3,287,14,5,1206.322,1210.311,60,-17.3111314527614,FALSE,TRUE,TRUE
"270",3,288,14,6,1210.311,1214.333,140,75.7778383355235,FALSE,TRUE,TRUE
"271",3,289,14,7,1214.333,1219.555,100,-9.84639238005062,FALSE,TRUE,TRUE
"272",3,290,14,8,1219.555,1224.255,60,-28.936338112311,FALSE,TRUE,TRUE
"273",3,291,14,9,1224.255,1229.233,80,-15.2556613576674,FALSE,TRUE,TRUE
"274",3,292,14,10,1229.233,1232.533,120,32.2924493998777,FALSE,TRUE,TRUE
"275",3,293,14,11,1232.533,1236.433,40,-16.5519374220422,FALSE,TRUE,TRUE
"276",3,294,14,12,1236.433,1239.9,140,50.0079798014414,FALSE,TRUE,TRUE
"277",3,310,16,1,1289.512,1294.589,80,-54.3652450789552,TRUE,TRUE,TRUE
"278",3,311,16,2,1294.589,1299.745,40,-20.6806239755856,TRUE,TRUE,TRUE
"279",3,312,16,3,1299.745,1304.634,140,46.2034479016918,TRUE,TRUE,TRUE
"280",3,313,16,4,1304.634,1308.268,120,53.4596141718034,TRUE,TRUE,TRUE
"281",3,314,16,5,1308.268,1314.501,60,-35.5560452195835,TRUE,TRUE,TRUE
"282",3,315,16,6,1314.501,1317.778,100,10.4328286793987,TRUE,TRUE,TRUE
"283",3,316,16,7,1317.778,1323.012,60,-22.5238204386386,TRUE,TRUE,TRUE
"284",3,317,16,8,1323.012,1327.934,140,69.9513855058617,TRUE,TRUE,TRUE
"285",3,318,16,9,1327.934,1331.479,120,71.9924204508279,TRUE,TRUE,TRUE
"286",3,319,16,10,1331.479,1335.812,100,-12.0342408095602,TRUE,TRUE,TRUE
"287",3,320,16,11,1335.812,1340.201,80,-10.7373030126043,TRUE,TRUE,TRUE
"288",3,321,16,12,1340.201,1344.045,40,-12.8270588530833,TRUE,TRUE,TRUE
"289",4,46,2,1,478.3607,481.3161,100,0.577970467567283,TRUE,FALSE,FALSE
"290",4,47,2,2,481.3161,485.0607,120,18.6350820410352,TRUE,FALSE,FALSE
"291",4,48,2,3,485.0607,488.4609,60,-19.1596422937126,TRUE,FALSE,FALSE
"292",4,49,2,4,488.4609,492.9716,40,-10.4972431068066,TRUE,FALSE,FALSE
"293",4,50,2,5,492.9716,501.8611,80,12.3579059707169,TRUE,FALSE,FALSE
"294",4,51,2,6,501.8611,506.5166,140,-2.47050579516224,TRUE,FALSE,FALSE
"295",4,52,2,7,506.5166,509.8499,140,-0.120726216993262,TRUE,FALSE,FALSE
